"time","error","location","ps_message"
"4/2/2020 4:18 PM","The term 'get-ADUser1' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","master_script.ps1","An error has occured in the getUsersNoGroup function"
"4/2/2020 4:26 PM","The term 'get-ADUser1' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","master_script.ps1","An error has occured in the getUsersNoGroup function"
"4/2/2020 5:11 PM","The term 'runCompare' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","classification_changes.ps1","An error has occured in the adminCountn_runScan function"
"4/2/2020 5:12 PM","Could not find a part of the path 'C:\ADInvigilator\logs\admin-count-logs\'.","classification_changes.ps1","An error has occured in the adminCount_runCompare function"
"4/15/2020 11:13 AM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getEmptyGroups function"
"4/15/2020 11:13 AM","Unable to find a default server with Active Directory Web Services running.","classification_changes.ps1","An error has occured in the adminCountn_runScan function"
"4/15/2020 11:13 AM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getUsersNoGroup function"
"4/15/2020 11:13 AM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getInactiveUsers function"
"4/15/2020 11:14 AM","Server instance not found on the given port.","classification_changes.ps1","An error has occured in the classfication_runScan function"
"4/15/2020 11:14 AM","Server instance not found on the given port.","classification_changes.ps1","An error has occured in the adminCountn_runScan function"
"4/18/2020 1:57 PM","Unable to find a default server with Active Directory Web Services running.","classification_changes.ps1","An error has occured in the classfication_runScan function"
"4/18/2020 1:57 PM","Unable to find a default server with Active Directory Web Services running.","classification_changes.ps1","An error has occured in the adminCountn_runScan function"
"4/18/2020 1:57 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getUsersNoGroup function"
"4/18/2020 1:57 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getInactiveUsers function"
"4/19/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getEmptyGroups function"
"4/19/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","classification_changes.ps1","An error has occured in the adminCountn_runScan function"
"4/19/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getUsersNoGroup function"
"4/19/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getInactiveUsers function"
"4/24/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","classification_changes.ps1","An error has occured in the classfication_runScan function"
"4/24/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","classification_changes.ps1","An error has occured in the adminCountn_runScan function"
"4/24/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getUsersNoGroup function"
"4/24/2020 3:54 PM","Unable to find a default server with Active Directory Web Services running.","master_script.ps1","An error has occured in the getInactiveUsers function"
